ISO639-1,Dataverse-language
aa,Afar
ab,Abkhaz
ae,Avestan
af,Afrikaans
ak,Akan
am,Amharic
an,Aragonese
ar,Arabic
as,Assamese
av,Avaric
ay,Aymara
az,Azerbaijani
ba,Bashkir
be,Belarusian
bg,Bulgarian
bh,Not applicable
bi,Bislama
bm,Bambara
bn,"Bengali, Bangla"
br,Breton
bs,Bosnian
ca,"Catalan, Valencian"
ce,Chechen
ch,Chamorro
co,Corsican
cr,Cree
cu,Old Church Slavonic
cv,Chuvash
da,Danish
dv,"Maldivian, Dhivehi, Divehi"
dz,Dzongkha
ee,Ewe
en,English
eo,Esperanto
es,"Spanish, Castilian"
et,Estonian
ff,"Fula, Fulah"
fi,Finnish
fj,Fijian
fo,Faroese
fy,Western Frisian
ga,Irish
gd,"Gaelic, Scottish Gaelic"
gl,Galician
gn,Guaraní
gu,Gujarati
gv,Manx
ha,Hausa
he,Hebrew (modern)
hi,Hindi
ho,Hiri Motu
hr,Croatian
ht,"Haitian Creole, Haitian"
hu,Hungarian
hz,Herero
ia,Interlingua
id,Indonesian
ie,Interlingue
ig,Igbo
ii,Nuosu
ik,Inupiaq
io,Ido
it,Italian
iu,Inuktitut
ja,Japanese
jv,Javanese
kg,Kongo
ki,"Kikuyu, Gikuyu"
kj,"Kuanyama, Kwanyama"
kk,Kazakh
kl,"Greenlandic, Kalaallisut"
km,Khmer
kn,Kannada
ko,Korean
kr,Kanuri
ks,Kashmiri
ku,Kurdish
kv,Komi
kw,Cornish
ky,Kirghiz
la,Latin
lb,"Luxembourgish, Letzeburgesch"
lg,Ganda
li,"Limburgan, Limburger, Limburgish"
ln,Lingala
lo,Lao
lt,Lithuanian
lu,Luba-Katanga
lv,Latvian
mg,Malagasy
mh,Marshallese
ml,Malayalam
mn,Mongolian
mr,Marathi (Marāṭhī)
mt,Maltese
na,Nauru
nb,Norwegian Bokmål
nd,Northern Ndebele
ne,Nepali
ng,Ndonga
nn,Norwegian Nynorsk
no,Norwegian
nr,Southern Ndebele
nv,"Navajo, Navaho"
ny,"Chichewa, Chewa, Nyanja"
oc,Occitan
oj,"Ojibwe, Ojibwa"
om,Oromo
or,Oriya
os,"Ossetian, Ossetic"
pa,"Panjabi, Punjabi"
pi,Pāli
pl,Polish
ps,"Pashto, Pushto"
pt,Portuguese
qu,Quechua
rn,Kirundi
ru,Russian
rw,Kinyarwanda
sa,Sanskrit (Saṁskṛta)
sc,Sardinian
sd,Sindhi
se,Northern Sami
sg,Sango
si,"Sinhala, Sinhalese"
sl,Slovenian
sm,Samoan
sn,Shona
so,Somali
sr,Serbian
ss,Swati
st,Southern Sotho
su,Sundanese
sv,Swedish
sw,Swahili
ta,Tamil
te,Telugu
tg,Tajik
th,Thai
ti,Tigrinya
tk,Turkmen
tl,Tagalog
tn,Tswana
to,Tonga (Tonga Islands)
tr,Turkish
ts,Tsonga
tt,Tatar
tw,Twi
ty,Tahitian
ug,"Uighur, Uyghur"
uk,Ukrainian
ur,Urdu
uz,Uzbek
ve,Venda
vi,Vietnamese
vo,Volapük
wa,Walloon
wo,Wolof
xh,Xhosa
yi,Yiddish
yo,Yoruba
za,"Zhuang, Chuang"
zu,Zulu
